Trt,Count
1,76
1,11
1,14
1,9
1,8
1,38
1,8
1,7
1,9
1,4
1,19
1,0
1,4
1,3
1,0
0,11
0,5
0,3
0,3
0,3
0,11
0,3
0,5
0,3
0,3
0,6
0,2
0,4
0,0
0,5
1,10
1,3
1,6
1,1
1,3
1,19
1,2
1,6
1,7
1,4
1,24
1,4
1,3
1,1
1,3
1,31
1,22
1,17
1,19
1,16
1,14
1,5
1,4
1,7
1,4
0,8
0,4
0,4
0,1
0,4
0,66
0,7
0,18
0,9
0,21
1,11
1,2
1,4
1,0
1,4
0,27
0,5
0,2
0,8
0,7
1,67
1,3
1,7
1,7
1,7
1,41
1,4
1,18
1,2
1,5
0,12
0,6
0,4
0,0
0,2
1,7
1,2
1,1
1,1
1,0
0,52
0,40
0,20
0,23
0,12
1,22
1,0
1,2
1,4
1,0
1,13
1,5
1,4
1,0
1,3
0,23
0,5
0,6
0,6
0,5
0,10
0,14
0,13
0,6
0,0
1,46
1,11
1,14
1,25
1,15
1,36
1,10
1,5
1,3
1,8
0,52
0,26
0,12
0,6
0,22
1,38
1,19
1,7
1,6
1,7
0,33
0,12
0,6
0,8
0,4
1,7
1,1
1,1
1,2
1,3
0,18
0,4
0,4
0,6
0,2
0,42
0,7
0,9
0,12
0,14
1,36
1,6
1,10
1,8
1,8
1,11
1,2
1,1
1,0
1,0
0,87
0,16
0,24
0,10
0,9
0,50
0,11
0,0
0,0
0,5
1,22
1,4
1,3
1,2
1,4
1,41
1,8
1,6
1,5
1,7
0,18
0,0
0,0
0,3
0,3
1,32
1,1
1,3
1,1
1,5
0,111
0,37
0,29
0,28
0,29
1,56
1,18
1,11
1,28
1,13
0,18
0,3
0,5
0,2
0,5
0,20
0,3
0,0
0,6
0,7
1,24
1,6
1,3
1,4
1,0
0,12
0,3
0,4
0,3
0,4
0,9
0,3
0,4
0,3
0,4
1,16
1,3
1,5
1,4
1,3
0,17
0,2
0,3
0,3
0,5
1,22
1,1
1,23
1,19
1,8
0,28
0,8
0,12
0,2
0,8
0,55
0,18
0,24
0,76
0,25
1,25
1,2
1,3
1,0
1,1
0,9
0,2
0,1
0,2
0,1
1,13
1,0
1,0
1,0
1,0
0,10
0,3
0,1
0,4
0,2
1,12
1,1
1,4
1,3
1,2
0,47
0,13
0,15
0,13
0,12
