Value,Group
62,Relaxation response and biofeedback
74,Relaxation response and biofeedback
86,Relaxation response and biofeedback
74,Relaxation response and biofeedback
91,Relaxation response and biofeedback
37,Relaxation response and biofeedback
69,Relaxation response alone
43,Relaxation response alone
100,Relaxation response alone
94,Relaxation response alone
100,Relaxation response alone
98,Relaxation response alone
50,Untreated
-120,Untreated
100,Untreated
-288,Untreated
4,Untreated
-76,Untreated
