Country, RedMeat, WhiteMeat, Eggs, Milk, Fish, Cereals, Starch, Nuts, Fr&Veg,Group,,Rotation X,Rotation Z,Zoom,Shift X,Shift Y,Delay [ms]
Albania,10.1,1.4,0.5,8.9,0.2,42.3,0.6,5.5,1.7,A,,110,90,0,50,50,3
Austria,8.9,14,4.3,19.9,2.1,28,3.6,1.3,4.3,A,,110,89,0,50,50,2
Belgium,13.5,9.3,4.1,17.5,4.5,26.6,5.7,2.1,4,A,,110,88,0,50,50,2
Bulgaria,7.8,6,1.6,8.3,1.2,56.7,1.1,3.7,4.2,A,,110,87,0,50,50,2
Czechoslovakia,9.7,11.4,2.8,12.5,2,34.3,5,1.1,4,A,,110,86,0,50,50,2
Denmark,10.6,10.8,3.7,25,9.9,21.9,4.8,0.7,2.4,A,,110,85,0,50,50,2
E Germany,8.4,11.6,3.7,11.1,5.4,24.6,6.5,0.8,3.6,A,,110,84,0,50,50,2
Finland,9.5,4.9,2.7,33.7,5.8,26.3,5.1,1,1.4,A,,110,83,0,50,50,2
France,18,9.9,3.3,19.5,5.7,28.1,4.8,2.4,6.5,A,,110,82,0,50,50,2
Greece,10.2,3,2.8,17.6,5.9,41.7,2.2,7.8,6.5,A,,110,81,0,50,50,2
Hungary,5.3,12.4,2.9,9.7,0.3,40.1,4,5.4,4.2,B,,110,80,0,50,50,2
Ireland,13.9,10,4.7,25.8,2.2,24,6.2,1.6,2.9,B,,110,79,0,50,50,2
Italy,9,5.1,2.9,13.7,3.4,36.8,2.1,4.3,6.7,B,,110,78,0,50,50,2
Netherlands,9.5,13.6,3.6,23.4,2.5,22.4,4.2,1.8,3.7,B,,110,77,0,50,50,2
Norway,9.4,4.7,2.7,23.3,9.7,23,4.6,1.6,2.7,B,,110,76,0,50,50,2
Poland,6.9,10.2,2.7,19.3,3,36.1,5.9,2,6.6,B,,110,75,0,50,50,2
Portugal,6.2,3.7,1.1,4.9,14.2,27,5.9,4.7,7.9,B,,110,74,0,50,50,2
Romania,6.2,6.3,1.5,11.1,1,49.6,3.1,5.3,2.8,B,,110,73,0,50,50,2
Spain,7.1,3.4,3.1,8.6,7,29.2,5.7,5.9,7.2,B,,110,72,0,50,50,2
Sweden,9.9,7.8,3.5,24.7,7.5,19.5,3.7,1.4,2,B,,110,71,0,50,50,2
Switzerland,13.1,10.1,3.1,23.8,2.3,25.6,2.8,2.4,4.9,C,,110,70,0,50,50,2
UK,17.4,5.7,4.7,20.6,4.3,24.3,4.7,3.4,3.3,C,,110,69,0,50,50,2
USSR,9.3,4.6,2.1,16.6,3,43.6,6.4,3.4,2.9,C,,110,68,0,50,50,2
W Germany,11.4,12.5,4.1,18.8,3.4,18.6,5.2,1.5,3.8,D,,110,67,0,50,50,2
Yugoslavia,4.4,5,1.2,9.5,0.6,55.9,3,5.7,3.2,D,,110,66,0,50,50,2
,,,,,,,,,,,,110,65,0,50,50,2
,,,,,,,,,,,,110,64,0,50,50,2
,,,,,,,,,,,,110,63,0,50,50,2
,,,,,,,,,,,,110,62,0,50,50,2
,,,,,,,,,,,,110,61,0,50,50,2
,,,,,,,,,,,,110,60,0,50,50,2
,,,,,,,,,,,,110,59,0,50,50,2
,,,,,,,,,,,,110,58,0,50,50,2
,,,,,,,,,,,,110,57,0,50,50,2
,,,,,,,,,,,,110,56,0,50,50,2
,,,,,,,,,,,,110,55,0,50,50,2
,,,,,,,,,,,,110,54,0,50,50,2
,,,,,,,,,,,,110,53,0,50,50,2
,,,,,,,,,,,,110,52,0,50,50,2
,,,,,,,,,,,,110,51,0,50,50,2
,,,,,,,,,,,,110,50,0,50,50,2
,,,,,,,,,,,,110,49,0,50,50,2
,,,,,,,,,,,,110,48,0,50,50,2
,,,,,,,,,,,,110,47,0,50,50,2
,,,,,,,,,,,,110,46,0,50,50,2
,,,,,,,,,,,,110,45,0,50,50,2
,,,,,,,,,,,,110,44,0,50,50,2
,,,,,,,,,,,,110,43,0,50,50,2
,,,,,,,,,,,,110,42,0,50,50,2
,,,,,,,,,,,,110,41,0,50,50,2
,,,,,,,,,,,,110,40,0,50,50,2
,,,,,,,,,,,,110,39,0,50,50,2
,,,,,,,,,,,,110,38,0,50,50,2
,,,,,,,,,,,,110,37,0,50,50,2
,,,,,,,,,,,,110,36,0,50,50,2
,,,,,,,,,,,,110,35,0,50,50,2
,,,,,,,,,,,,110,34,0,50,50,2
,,,,,,,,,,,,110,33,0,50,50,2
,,,,,,,,,,,,110,32,0,50,50,2
,,,,,,,,,,,,110,31,0,50,50,2
,,,,,,,,,,,,110,30,0,50,50,2
,,,,,,,,,,,,110,29,0,50,50,2
,,,,,,,,,,,,110,28,0,50,50,2
,,,,,,,,,,,,110,27,0,50,50,2
,,,,,,,,,,,,110,26,0,50,50,2
,,,,,,,,,,,,110,25,0,50,50,2
,,,,,,,,,,,,110,24,0,50,50,2
,,,,,,,,,,,,110,23,0,50,50,2
,,,,,,,,,,,,110,22,0,50,50,2
,,,,,,,,,,,,110,21,0,50,50,2
,,,,,,,,,,,,110,20,0,50,50,2
,,,,,,,,,,,,110,19,0,50,50,2
,,,,,,,,,,,,110,18,0,50,50,2
,,,,,,,,,,,,110,17,0,50,50,2
,,,,,,,,,,,,110,16,0,50,50,2
,,,,,,,,,,,,110,15,0,50,50,2
,,,,,,,,,,,,110,14,0,50,50,2
,,,,,,,,,,,,110,13,0,50,50,2
,,,,,,,,,,,,110,12,0,50,50,2
,,,,,,,,,,,,110,11,0,50,50,2
,,,,,,,,,,,,110,10,0,50,50,2
,,,,,,,,,,,,110,9,0,50,50,2
,,,,,,,,,,,,110,8,0,50,50,2
,,,,,,,,,,,,110,7,0,50,50,2
,,,,,,,,,,,,110,6,0,50,50,2
,,,,,,,,,,,,110,5,0,50,50,2
,,,,,,,,,,,,110,4,0,50,50,2
,,,,,,,,,,,,110,3,0,50,50,2
,,,,,,,,,,,,110,2,0,50,50,2
,,,,,,,,,,,,110,1,0,50,50,2
,,,,,,,,,,,,110,0,0,50,50,2
,,,,,,,,,,,,111,0,0,50,50,2
,,,,,,,,,,,,112,0,0,50,50,2
,,,,,,,,,,,,113,0,0,50,50,2
,,,,,,,,,,,,114,0,0,50,50,2
,,,,,,,,,,,,115,0,0,50,50,2
,,,,,,,,,,,,115,1,0,50,50,1
,,,,,,,,,,,,115,2,0,50,50,1
,,,,,,,,,,,,115,3,0,50,50,1
,,,,,,,,,,,,115,4,0,50,50,1
,,,,,,,,,,,,115,5,0,50,50,1
,,,,,,,,,,,,115,6,0,50,50,1
,,,,,,,,,,,,115,7,0,50,50,1
,,,,,,,,,,,,115,8,0,50,50,1
,,,,,,,,,,,,115,9,0,50,50,1
,,,,,,,,,,,,115,10,0,50,50,1
,,,,,,,,,,,,115,11,0,50,50,1
,,,,,,,,,,,,115,12,0,50,50,1
,,,,,,,,,,,,115,13,0,50,50,1
