Row ID,count,child,camper,persons,nofish,livebait,xb,Prediction,Raw Resid.,Deviance Resid.,Pearson Resid.,Laverage,Std Deviance Resid.,Std Pearson Resid.,Cook Distance
2,0,0,0,1,1,0,-0.896314561,0.100442854,-0.100442854,-0.445734097,-0.313451964,0.009286243,-0.447818221,-0.314917575,0.000132797
3,0,0,1,1,0,1,-0.55834496,0.341233052,-0.341233052,-0.811081631,-0.563209618,0.009193993,-0.814836079,-0.565816681,0.000424394
4,0,0,0,1,0,1,-0.401731014,0.245037636,-0.245037636,-0.690804534,-0.482075136,0.008417967,-0.693730606,-0.484117083,0.000284237
5,0,1,1,2,0,1,-0.956298113,0.055567667,-0.055567667,-0.332348428,-0.234287382,0.002676981,-0.332794168,-0.234601605,2.11044E-05
6,1,0,0,1,0,1,0.43689096,0.629796558,0.370203442,0.397790932,0.436943026,0.017472522,0.401312351,0.440811036,0.000493648
7,0,2,1,4,0,1,1.394485474,0.210428599,-0.210428599,-0.641344973,-0.448372252,0.011266198,-0.644988548,-0.450919521,0.000330977
8,0,1,0,3,0,1,0.184716746,0.127351719,-0.127351719,-0.501168245,-0.351923893,0.004771968,-0.502368321,-0.352766596,8.52416E-05
9,0,3,0,4,0,1,2.329106569,0.087733925,-0.087733925,-0.416870524,-0.293356243,0.008239792,-0.418598675,-0.294572361,0.00010299
10,0,2,1,3,1,0,0.188386485,0.03674451,-0.03674451,-0.270538209,-0.190911544,0.005069339,-0.271226552,-0.19139729,2.66644E-05
11,1,0,1,1,0,1,0.287689924,0.88438719,0.11561281,0.109692017,0.112398556,0.016640188,0.110616215,0.113345558,3.10568E-05
12,0,1,0,4,0,1,1.99095273,1.025101394,-1.025101394,-1.35911958,-0.913823523,0.021943235,-1.374281304,-0.924017726,0.002736523
13,0,2,1,3,0,1,1.317893147,0.183186629,-0.183186629,-0.599266197,-0.419557443,0.008888938,-0.601947505,-0.421434678,0.000227557
14,1,0,0,3,1,0,0.298041672,0.427884562,0.572115438,0.699744454,0.835826963,0.03286813,0.711535573,0.849911156,0.003507021
15,2,0,0,3,0,1,1.290873408,1.828998008,0.171001992,0.104574535,0.106635052,0.029320153,0.106142163,0.108233569,5.05494E-05
16,0,0,1,1,0,1,-0.06088984,0.597360167,-0.597360167,-1.059188281,-0.726237639,0.012874658,-1.066073177,-0.730958301,0.000995521
17,1,0,1,1,1,1,0.370049208,1.018575046,-0.018575046,-0.016681737,-0.016621443,0.035363024,-0.016984756,-0.016923367,1.4999E-06
18,0,1,0,4,0,1,1.979093432,1.011507961,-1.011507961,-1.350937327,-0.90886215,0.021794006,-1.365903575,-0.918930905,0.002687661
19,0,2,1,3,1,1,0.715337098,0.097592776,-0.097592776,-0.439432959,-0.309068494,0.006373086,-0.44083996,-0.310058087,8.80875E-05
20,1,1,1,2,0,1,1.516053081,0.898363469,0.101636531,0.095854295,0.097912326,0.015551506,0.096608442,0.098682665,2.19767E-05
21,0,1,0,3,0,1,-0.034895968,0.09945927,-0.09945927,-0.44357008,-0.311946767,0.004157977,-0.444495142,-0.31259733,5.8286E-05
22,1,1,0,4,0,1,1.178230286,0.410639328,0.589360672,0.730315232,0.880455487,0.013731728,0.735381716,0.886563553,0.001563334
23,5,0,1,4,0,1,1.642111778,4.754092604,0.245907396,0.077664915,0.078667548,0.052451024,0.079785512,0.080815521,5.16468E-05
24,0,1,1,2,0,1,0.597727358,0.319536695,-0.319536695,-0.785764362,-0.546234681,0.0074165,-0.788694481,-0.548271593,0.000320867
25,3,0,1,2,0,1,1.139723063,2.431835957,0.568164043,0.279553991,0.29360919,0.017981568,0.282101813,0.296285109,0.00022963
26,30,0,1,3,0,1,3.500297546,36.5333402,-6.533340198,-0.380562654,-0.358124326,0.060247832,-0.392572162,-0.369425741,0.001249926
27,0,0,1,2,0,1,-0.789978385,0.277066042,-0.277066042,-0.73332066,-0.510893833,0.008867135,-0.73659367,-0.513174091,0.000336576
28,13,0,1,4,0,1,2.662356138,14.99072974,-1.990729737,-0.257560938,-0.247155662,0.050951051,-0.264384319,-0.253703383,0.00049365
29,0,1,0,2,0,1,1.606172442,0.598587086,-0.598587086,-1.060210402,-0.726895673,0.013992047,-1.067706415,-0.732035048,0.001086342
30,0,0,0,1,0,1,0.01855018,0.393270013,-0.393270013,-0.868379646,-0.601409962,0.011986353,-0.873631256,-0.605047047,0.00063446
31,0,3,0,4,0,1,3.034559011,0.194103777,-0.194103777,-0.616503597,-0.431376461,0.017296384,-0.621905414,-0.435156191,0.000476129
32,0,0,0,1,0,1,0.051000755,0.407900814,-0.407900814,-0.883716726,-0.611582178,0.012330515,-0.889215976,-0.615387972,0.000675413
33,0,1,1,3,0,1,0.745258808,0.397567546,-0.397567546,-0.872917351,-0.604421944,0.009083564,-0.876909167,-0.607185941,0.000482797
34,11,0,1,4,0,1,2.453136683,11.84524543,-0.845245427,-0.13165473,-0.128910567,0.050889343,-0.135138172,-0.132321402,0.000134113
35,5,1,1,4,0,1,2.352706671,2.558548615,2.441451385,1.02783753,1.218943014,0.028638562,1.042879287,1.23678148,0.006442557
36,0,0,1,1,0,1,-1.108257532,0.183747589,-0.183747589,-0.60016497,-0.420174206,0.00645928,-0.602112727,-0.421537827,0.000165034
37,1,0,0,2,1,0,0.515419424,0.518591507,0.481408493,0.552930743,0.633053206,0.037962053,0.563734528,0.645422515,0.002348268
38,1,1,1,2,1,1,1.982768536,1.594771468,-0.594771468,-0.442834905,-0.404751804,0.045520355,-0.453271601,-0.41429096,0.00116937
39,7,1,1,4,1,1,2.066855907,1.946891042,5.053108958,2.146206542,3.026136991,0.052777597,2.205187559,3.109299835,0.07695287
40,0,1,1,3,1,1,0.095011771,0.20073388,-0.20073388,-0.626721766,-0.438372813,0.009719895,-0.629789986,-0.440518939,0.000272104
41,14,1,1,4,0,1,5.352674007,74.91231785,-60.91231785,-2.635897161,-1.676133018,0.15965486,-2.875408922,-1.828435458,0.090737264
42,0,0,1,1,0,1,-0.711813927,0.287095563,-0.287095563,-0.746080557,-0.519514028,0.00832277,-0.7492048,-0.521689515,0.000326305
43,32,0,1,4,0,1,3.484046221,37.80184212,-5.801842122,-0.324248019,-0.307923063,0.060310317,-0.334491512,-0.317650826,0.000925143
44,0,2,0,3,1,0,2.400906324,0.266944667,-0.266944667,-0.720186863,-0.502006962,0.030403801,-0.731391221,-0.509816971,0.001164307
45,1,0,1,4,1,0,0.376028478,0.817710679,0.182289321,0.178161817,0.185455946,0.07204164,0.184948319,0.192520294,0.000411065
46,0,2,0,4,1,1,1.085056424,0.093874132,-0.093874132,-0.43106705,-0.303245518,0.006535658,-0.432482646,-0.304241356,8.69912E-05
47,0,0,1,1,0,1,-1.067198753,0.192439218,-0.192439218,-0.613909213,-0.429598918,0.006630491,-0.61595465,-0.431030266,0.000177155
48,0,1,1,2,0,1,0.322997063,0.234539771,-0.234539771,-0.676222065,-0.472157665,0.006137373,-0.678306779,-0.473613273,0.000197882
49,1,0,0,1,0,1,0.501066327,0.676975508,0.323024492,0.338319818,0.366055835,0.018553955,0.341502765,0.369499724,0.000368723
50,5,1,1,2,0,1,2.011488438,1.569097295,3.430902705,1.754120484,2.358779271,0.025196436,1.776645851,2.389069305,0.021075674
51,0,1,0,2,0,1,0.95714736,0.28830084,-0.28830084,-0.747597515,-0.520537932,0.007466307,-0.750404137,-0.52249213,0.000293374
52,1,1,1,2,0,1,1.114434004,0.571632852,0.428367148,0.476036868,0.533722996,0.010975129,0.478670852,0.536676166,0.000456593
53,0,1,1,2,0,1,-0.673830032,0.07636759,-0.07636759,-0.389172203,-0.274033841,0.003216666,-0.389799635,-0.274475645,3.47308E-05
54,22,0,1,4,0,1,3.196705818,27.35546886,-5.355468858,-0.411225026,-0.385023996,0.05495763,-0.423013177,-0.396061071,0.001303176
55,0,0,0,2,1,0,-0.3863208,0.187932555,-0.187932555,-0.606824777,-0.424742612,0.015467918,-0.611573091,-0.42806616,0.000411269
56,15,0,1,3,0,1,2.718511581,15.15328039,-0.153280387,-0.018906074,-0.018849502,0.031950137,-0.019215535,-0.019158037,1.73053E-06
57,0,0,1,1,1,0,-1.269290566,0.109639465,-0.109639465,-0.465459986,-0.327161143,0.011124586,-0.468070814,-0.328996234,0.000173951
58,0,0,1,1,0,1,-1.087805986,0.188026717,-0.188026717,-0.606973714,-0.424844743,0.006544003,-0.608969534,-0.426241696,0.000170966
59,0,0,1,1,0,1,-0.984578311,0.211194834,-0.211194834,-0.64248528,-0.449151348,0.006988965,-0.64474227,-0.450729175,0.000204264
60,5,1,1,4,1,1,1.872467756,1.564275866,3.435724134,1.75858399,2.366671001,0.046940535,1.801370788,2.424252711,0.041350977
61,4,0,1,1,1,1,1.547955513,3.835505,0.164495,0.06109682,0.061728804,0.097332706,0.064306483,0.064971667,6.50251E-05
62,2,0,0,2,0,1,1.004094243,1.256754983,0.743245017,0.529115468,0.58623863,0.021444952,0.534881808,0.592627503,0.001099526
63,0,1,1,2,0,1,-0.165202618,0.135380442,-0.135380442,-0.516499826,-0.3625336,0.00445916,-0.517655269,-0.363344611,8.4476E-05
64,2,1,0,2,0,1,1.471645236,0.514472983,1.485527017,1.434652982,1.96207922,0.012188898,1.443477152,1.974147449,0.00686992
65,32,0,1,4,0,1,3.489336014,38.02760063,-6.027600633,-0.335584111,-0.318106198,0.060433463,-0.346208415,-0.328177166,0.00098962
66,0,3,0,4,0,1,1.885775805,0.053264952,-0.053264952,-0.325430509,-0.22943954,0.005251475,-0.326288384,-0.230044372,3.99111E-05
67,0,0,1,1,0,1,-2.272530079,0.049551534,-0.049551534,-0.313945821,-0.221387465,0.003014598,-0.314420104,-0.221721919,2.12354E-05
68,1,0,0,1,0,1,0.613840997,0.768606077,0.231393923,0.231424759,0.243945089,0.020646495,0.233851456,0.246503073,0.000183001
69,0,2,0,3,1,1,2.878997564,0.671059679,-0.671059679,-1.118521501,-0.764235105,0.035060614,-1.13866067,-0.777995288,0.003141777
70,0,0,1,1,1,1,-0.944848835,0.231842972,-0.231842972,-0.672419617,-0.469568939,0.011494484,-0.676317814,-0.472291156,0.000370537
71,0,1,1,2,0,1,0.820035219,0.410391001,-0.410391001,-0.886296196,-0.613290741,0.00871918,-0.890185536,-0.615982049,0.000476779
72,7,0,1,3,0,1,2.088183641,7.453589691,-0.453589691,-0.10370234,-0.1019721,0.023701706,-0.104953588,-0.103202471,3.69385E-05
73,0,3,0,4,0,1,2.16530633,0.072961275,-0.072961275,-0.380464778,-0.267952234,0.006966337,-0.381796966,-0.268890462,7.24592E-05
74,0,2,0,4,1,0,0.55752635,0.035321362,-0.035321362,-0.265268192,-0.187207284,0.004429111,-0.265857602,-0.187623247,2.23728E-05
75,0,2,1,3,0,1,-0.627695501,0.020501055,-0.020501055,-0.202259962,-0.142857195,0.001749126,-0.202437083,-0.142982296,5.11738E-06
76,0,0,1,1,1,0,-3.275050163,0.011466589,-0.011466589,-0.15134081,-0.106946137,0.001630165,-0.151464317,-0.107033413,2.67227E-06
77,0,0,0,2,0,1,0.307397574,0.573673145,-0.573673145,-1.039208805,-0.713351125,0.013458775,-1.046273435,-0.718200547,0.001005272
