Row ID,Count,X1,Trt,trtx1,Ltime,Prediction,Raw Resid.,Deviance Resid.,Pearson Resid.,Laverage,Std Deviance Resid.,Std Pearson Resid.,Cook Distance
2,76,0,1,0,2.079441542,27.63333333,48.36666667,7.552924786,9.200883246,0.033333333,7.682043964,9.358174696,0.754960635
3,11,1,1,1,0.693147181,5.708333333,5.291666667,1.961623452,2.214816838,0.008333333,1.969848324,2.224103322,0.010392092
4,14,1,1,1,0.693147181,5.708333333,8.291666667,2.921696976,3.470461029,0.008333333,2.933947332,3.485012293,0.025515359
5,9,1,1,1,0.693147181,5.708333333,3.291666667,1.269654024,1.37772071,0.008333333,1.274977544,1.383497342,0.004021145
6,8,1,1,1,0.693147181,5.708333333,2.291666667,0.903823991,0.959172646,0.008333333,0.907613626,0.963194352,0.001949041
7,38,0,1,0,2.079441542,27.63333333,10.36666667,1.864801336,1.972070772,0.033333333,1.896680591,2.005783825,0.034682489
8,8,1,1,1,0.693147181,5.708333333,2.291666667,0.903823991,0.959172646,0.008333333,0.907613626,0.963194352,0.001949041
9,7,1,1,1,0.693147181,5.708333333,1.291666667,0.521947715,0.540624582,0.008333333,0.524136184,0.542891362,0.000619183
10,9,1,1,1,0.693147181,5.708333333,3.291666667,1.269654024,1.37772071,0.008333333,1.274977544,1.383497342,0.004021145
11,4,1,1,1,0.693147181,5.708333333,-1.708333333,-0.756045496,-0.715019609,0.008333333,-0.759215512,-0.718017608,0.001083087
12,19,0,1,0,2.079441542,27.63333333,-8.633333333,-1.741402447,-1.642335466,0.033333333,-1.771172167,-1.67041161,0.024054094
13,0,1,1,1,0.693147181,5.708333333,-5.708333333,-3.378855822,-2.389211864,0.008333333,-3.393022995,-2.399229568,0.012093073
14,4,1,1,1,0.693147181,5.708333333,-1.708333333,-0.756045496,-0.715019609,0.008333333,-0.759215512,-0.718017608,0.001083087
15,3,1,1,1,0.693147181,5.708333333,-2.708333333,-1.247709031,-1.133567673,0.008333333,-1.252940538,-1.138320598,0.002722214
