count,child,camper,persons,nofish,livebait,xb
0,0,0,1,1,0,-0.896314561
0,0,1,1,0,1,-0.55834496
0,0,0,1,0,1,-0.401731014
0,1,1,2,0,1,-0.956298113
1,0,0,1,0,1,0.43689096
0,2,1,4,0,1,1.394485474
0,1,0,3,0,1,0.184716746
0,3,0,4,0,1,2.329106569
0,2,1,3,1,0,0.188386485
1,0,1,1,0,1,0.287689924
0,1,0,4,0,1,1.99095273
0,2,1,3,0,1,1.317893147
1,0,0,3,1,0,0.298041672
2,0,0,3,0,1,1.290873408
0,0,1,1,0,1,-0.06088984
1,0,1,1,1,1,0.370049208
0,1,0,4,0,1,1.979093432
0,2,1,3,1,1,0.715337098
1,1,1,2,0,1,1.516053081
0,1,0,3,0,1,-0.034895968
1,1,0,4,0,1,1.178230286
5,0,1,4,0,1,1.642111778
0,1,1,2,0,1,0.597727358
3,0,1,2,0,1,1.139723063
30,0,1,3,0,1,3.500297546
0,0,1,2,0,1,-0.789978385
13,0,1,4,0,1,2.662356138
0,1,0,2,0,1,1.606172442
0,0,0,1,0,1,0.01855018
0,3,0,4,0,1,3.034559011
0,0,0,1,0,1,0.051000755
0,1,1,3,0,1,0.745258808
11,0,1,4,0,1,2.453136683
5,1,1,4,0,1,2.352706671
0,0,1,1,0,1,-1.108257532
1,0,0,2,1,0,0.515419424
1,1,1,2,1,1,1.982768536
7,1,1,4,1,1,2.066855907
0,1,1,3,1,1,0.095011771
14,1,1,4,0,1,5.352674007
0,0,1,1,0,1,-0.711813927
32,0,1,4,0,1,3.484046221
0,2,0,3,1,0,2.400906324
1,0,1,4,1,0,0.376028478
0,2,0,4,1,1,1.085056424
0,0,1,1,0,1,-1.067198753
0,1,1,2,0,1,0.322997063
1,0,0,1,0,1,0.501066327
5,1,1,2,0,1,2.011488438
0,1,0,2,0,1,0.95714736
1,1,1,2,0,1,1.114434004
0,1,1,2,0,1,-0.673830032
22,0,1,4,0,1,3.196705818
0,0,0,2,1,0,-0.3863208
15,0,1,3,0,1,2.718511581
0,0,1,1,1,0,-1.269290566
0,0,1,1,0,1,-1.087805986
0,0,1,1,0,1,-0.984578311
5,1,1,4,1,1,1.872467756
4,0,1,1,1,1,1.547955513
2,0,0,2,0,1,1.004094243
0,1,1,2,0,1,-0.165202618
2,1,0,2,0,1,1.471645236
32,0,1,4,0,1,3.489336014
0,3,0,4,0,1,1.885775805
0,0,1,1,0,1,-2.272530079
1,0,0,1,0,1,0.613840997
0,2,0,3,1,1,2.878997564
0,0,1,1,1,1,-0.944848835
0,1,1,2,0,1,0.820035219
7,0,1,3,0,1,2.088183641
0,3,0,4,0,1,2.16530633
0,2,0,4,1,0,0.55752635
0,2,1,3,0,1,-0.627695501
0,0,1,1,1,0,-3.275050163
0,0,0,2,0,1,0.307397574
0,2,0,3,0,1,0.459303737
0,0,1,1,1,1,-0.188099161
0,1,0,2,0,1,-0.19742322
2,0,0,4,0,1,0.901133239
3,1,1,4,0,1,2.22973752
1,1,0,2,1,1,1.150078893
5,0,1,3,0,1,1.716530919
0,0,0,1,0,1,-0.465738386
2,0,1,1,0,1,1.019573331
1,1,0,3,1,0,1.867413759
0,1,0,4,1,0,0.714378536
1,0,1,1,1,1,0.044008121
149,0,1,4,0,1,5.005039692
0,2,1,3,0,1,2.461556435
1,1,1,3,0,1,1.570416808
0,0,0,2,0,1,-1.490852475
0,0,1,3,0,1,-0.865133345
1,1,0,2,0,1,0.833803177
0,2,0,4,0,1,2.208499908
0,1,1,3,0,1,1.633207917
0,2,0,4,0,1,1.524009705
2,0,0,4,1,0,2.491374731
2,0,1,2,0,1,1.084769011
29,0,0,4,0,1,3.59467721
3,0,1,1,0,1,1.128834605
0,0,1,2,1,0,-0.385939926
0,2,0,4,0,1,2.21350956
5,0,0,3,1,0,2.518778086
0,0,1,2,0,1,0.011589484
0,1,0,4,0,1,3.29880619
0,0,1,1,0,1,-0.258302957
0,1,0,3,0,1,0.931161046
0,1,1,4,0,1,3.234340668
1,1,1,4,0,1,0.566562116
7,0,1,1,0,1,1.974095106
1,0,1,2,0,1,0.109922774
0,0,0,1,0,1,-1.052196026
2,1,0,4,1,0,1.193210363
0,2,0,3,0,1,0.351580232
2,0,0,2,1,1,1.180063128
0,1,0,2,0,1,0.442351252
0,1,0,4,0,1,0.339507729
0,1,1,3,1,0,0.368057549
1,2,1,3,1,1,2.431215048
0,1,0,2,0,1,-0.267399877
0,0,0,1,1,1,-0.36659652
0,3,1,4,1,0,1.48165834
0,0,0,1,0,1,-0.620765746
0,3,1,4,1,0,1.59366858
3,1,0,4,0,1,2.824294329
4,0,1,1,0,1,1.487538576
3,0,1,3,0,1,1.139073014
3,0,0,2,0,1,1.415821791
8,0,1,4,0,1,2.172077894
2,0,1,3,1,0,0.818082452
1,0,1,1,1,1,0.332590669
6,0,0,4,0,1,1.856842756
0,2,1,4,1,1,0.593688667
0,1,1,2,0,1,0.061764006
5,0,0,4,1,1,1.984782338
3,1,1,4,0,1,1.963856339
31,1,0,3,0,1,3.72607255
0,1,1,2,0,1,0.349324912
2,0,0,2,0,1,0.704055548
0,3,1,4,1,1,1.569243789
0,1,1,2,0,1,0.781064868
0,0,0,3,1,0,0.139555037
0,1,1,3,0,1,1.541620493
0,0,0,1,1,1,0.071873553
0,0,0,2,0,1,0.746514857
6,0,1,4,1,1,1.925082445
9,0,0,3,0,1,2.214212179
0,2,1,3,1,0,-0.599701524
0,1,1,2,1,0,-2.107331038
0,0,1,1,0,1,-2.490455389
0,1,1,2,0,1,-0.070476264
0,0,0,1,0,1,-0.233503744
2,0,0,2,0,1,2.148858786
15,0,0,3,0,1,3.173754692
1,0,1,1,0,1,0.676705837
2,0,1,2,1,1,0.903368711
3,1,1,3,0,1,2.121471882
0,0,1,1,1,1,-1.680656552
65,0,1,4,0,1,4.26848793
5,0,1,3,0,1,1.759671211
0,0,0,1,0,1,0.007159876
0,2,1,3,1,1,3.533810616
0,1,0,4,0,1,1.902828455
0,2,0,4,0,1,2.054314375
1,0,0,1,1,1,0.132048607
8,1,1,4,0,1,2.844588757
0,0,1,3,0,1,-0.150227517
0,2,1,3,0,1,0.377593964
0,3,1,4,0,1,1.461001873
2,0,1,3,0,1,0.951952934
4,1,1,2,0,1,1.531072855
5,0,0,4,1,1,1.716095209
9,0,0,2,0,1,2.242041826
0,2,0,4,0,1,3.389037609
0,0,0,2,0,1,-0.457464665
0,0,1,2,0,1,-0.263669461
0,0,0,1,0,1,-0.71243757
21,0,1,2,1,1,3.053916931
0,0,0,1,0,1,-2.708276749
6,0,1,3,0,1,1.872051477
0,1,0,2,0,1,0.169749007
0,0,1,2,1,0,-0.348856091
0,1,1,2,0,1,0.240219221
0,1,0,3,1,1,2.40387702
16,1,1,4,0,1,2.988574505
0,2,0,3,1,0,0.005257762
0,2,1,3,0,1,0.400785357
4,0,1,4,1,1,1.592312098
2,1,1,2,0,1,1.022531271
10,0,1,3,0,1,2.377341747
0,0,1,1,1,0,-2.112927198
0,0,1,1,0,1,-0.557507157
0,0,0,1,1,0,-1.276221037
2,0,1,2,1,0,1.060786009
1,0,1,2,1,1,0.409971446
3,0,0,1,0,1,1.472747684
0,1,1,3,0,1,1.122244954
0,2,1,4,0,1,2.242376328
21,0,1,2,0,1,3.163843393
0,1,0,2,0,1,-0.585306764
0,0,0,2,0,1,-0.015607119
2,0,1,1,1,0,0.834488332
0,1,1,2,1,0,-1.268876076
3,1,1,4,0,1,2.757081985
0,1,1,3,0,1,1.703949213
38,0,1,4,0,1,3.765002489
0,3,1,4,1,1,2.719051123
0,0,1,1,0,1,-0.154021844
0,0,0,1,0,1,-0.411525637
1,0,1,1,0,1,0.531122029
3,0,0,1,0,1,1.340306163
0,0,1,1,0,1,-1.562050104
1,0,0,2,0,1,0.225383952
0,2,0,4,1,1,4.502663612
0,1,0,2,1,0,0.162199765
0,2,0,4,0,1,3.047013521
0,1,0,3,0,1,1.630753398
5,2,1,4,0,1,1.983255029
0,2,0,4,0,1,3.877111435
0,1,0,4,1,0,1.58475554
2,0,0,3,0,1,1.701143265
0,1,1,2,1,1,-0.170604989
0,0,1,1,0,1,-0.49698019
0,1,0,2,0,1,1.218269944
1,0,1,2,0,1,0.037536614
4,1,1,3,1,1,1.523244143
0,0,0,1,1,1,-0.907698154
0,2,1,3,0,1,2.331376553
2,1,1,2,0,1,1.068086028
3,0,1,1,0,1,1.40126574
0,2,0,4,1,1,3.930421829
0,1,0,3,0,1,0.196246982
0,0,0,2,0,1,0.029527381
0,0,0,2,1,0,-0.766901433
1,0,1,1,0,1,0.661188662
2,0,1,2,0,1,1.015074015
0,0,1,1,0,1,-1.046668053
6,0,1,3,0,1,1.9380548
4,0,1,2,0,1,1.724750519
1,0,1,2,0,1,0.602655232
1,2,1,4,0,1,2.413781643
0,0,0,2,1,0,-1.20076859
1,1,1,3,0,1,1.963849306
0,0,0,3,0,1,-0.291065693
0,0,1,2,1,1,-0.755235732
0,3,1,4,0,1,1.794859171
0,1,1,2,0,1,-0.392648846
0,2,1,3,1,1,1.374640584
0,1,1,2,1,1,0.828834116
