Poisson,,,,,,,,Logistic,,,,,,,,,
Row ID,count,child,camper,persons,nofish,livebait,xb,count,child,camper,persons,nofish,livebait,xb,Prediction,Raw Resid.,Pearson Resid.
2,0,0,0,1,1,0,-0.896314561,0,0,0,1,1,0,-0.896314561,0.116510173,-0.116510173,-0.335386255
3,0,0,1,1,0,1,-0.55834496,0,0,1,1,0,1,-0.55834496,0.409874234,-0.409874234,-0.617710686
4,0,0,0,1,0,1,-0.401731014,0,0,0,1,0,1,-0.401731014,0.207875898,-0.207875898,-0.399941645
5,0,1,1,2,0,1,-0.956298113,0,1,1,2,0,1,-0.956298113,0.013595437,-0.013595437,-0.110631982
6,1,0,0,1,0,1,0.43689096,1,0,0,1,0,1,0.43689096,0.76930745,0.23069255,0.225738696
7,0,2,1,4,0,1,1.394485474,0,2,1,4,0,1,1.394485474,0.046118227,-0.046118227,-0.179383479
8,0,1,0,3,0,1,0.184716746,0,1,0,3,0,1,0.184716746,0.019246905,-0.019246905,-0.119586859
9,0,3,0,4,0,1,2.329106569,0,3,0,4,0,1,2.329106569,0.000545687,-0.000545687,-0.020034523
10,0,2,1,3,1,0,0.188386485,0,2,1,3,1,0,0.188386485,0.011096094,-0.011096094,-0.102530496
11,1,0,1,1,0,1,0.287689924,1,0,1,1,0,1,0.287689924,1.023328983,-0.023328983,-0.022408483
12,0,1,0,4,0,1,1.99095273,0,1,0,4,0,1,1.99095273,0.845671478,-0.845671478,-0.595086913
13,0,2,1,3,0,1,1.317893147,0,2,1,3,0,1,1.317893147,0.037033893,-0.037033893,-0.164475212
14,1,0,0,3,1,0,0.298041672,1,0,0,3,1,0,0.298041672,0.535596734,0.464403266,0.623477897
15,2,0,0,3,0,1,1.290873408,2,0,0,3,0,1,1.290873408,2.635836513,-0.635836513,-0.328320727
16,0,0,1,1,0,1,-0.06088984,0,0,1,1,0,1,-0.06088984,0.711194709,-0.711194709,-0.816882693
17,1,0,1,1,1,1,0.370049208,1,0,1,1,1,1,0.370049208,1.231468432,-0.231468432,-0.202781531
18,0,1,0,4,0,1,1.979093432,0,1,0,4,0,1,1.979093432,0.827885313,-0.827885313,-0.589694116
19,0,2,1,3,1,1,0.715337098,0,2,1,3,1,1,0.715337098,0.011737439,-0.011737439,-0.097276725
20,1,1,1,2,0,1,1.516053081,1,1,1,2,0,1,1.516053081,1.013028074,-0.013028074,-0.011380864
21,0,1,0,3,0,1,-0.034895968,0,1,0,3,0,1,-0.034895968,0.011771573,-0.011771573,-0.095730919
22,1,1,0,4,0,1,1.178230286,1,1,0,4,0,1,1.178230286,0.174308124,0.825691876,1.451391018
23,5,0,1,4,0,1,1.642111778,5,0,1,4,0,1,1.642111778,5.136679147,-0.136679147,-0.058726275
24,0,1,1,2,0,1,0.597727358,0,1,1,2,0,1,0.597727358,0.272634473,-0.272634473,-0.46281321
25,3,0,1,2,0,1,1.139723063,3,0,1,2,0,1,1.139723063,2.621879806,0.378120194,0.227874278
26,30,0,1,3,0,1,3.500297546,30,0,1,3,0,1,3.500297546,27.67702194,2.322978061,0.436586863
27,0,0,1,2,0,1,-0.789978385,0,0,1,2,0,1,-0.789978385,0.338639648,-0.338639648,-0.558001339
28,13,0,1,4,0,1,2.662356138,13,0,1,4,0,1,2.662356138,13.66430295,-0.664302954,-0.176508495
29,0,1,0,2,0,1,1.606172442,0,1,0,2,0,1,1.606172442,0.36486634,-0.36486634,-0.435818823
30,0,0,0,1,0,1,0.01855018,0,0,0,1,0,1,0.01855018,0.41648581,-0.41648581,-0.557415459
31,0,3,0,4,0,1,3.034559011,0,3,0,4,0,1,3.034559011,0.002759254,-0.002759254,-0.04026823
32,0,0,0,1,0,1,0.051000755,0,0,0,1,0,1,0.051000755,0.437982846,-0.437982846,-0.571144773
33,0,1,1,3,0,1,0.745258808,0,1,1,3,0,1,0.745258808,0.370907856,-0.370907856,-0.530490836
34,11,0,1,4,0,1,2.453136683,11,0,1,4,0,1,2.453136683,11.18862704,-0.188627036,-0.055303245
35,5,1,1,4,0,1,2.352706671,5,1,1,4,0,1,2.352706671,3.164567221,1.835432779,0.89665455
