Row ID,APPLY,PARED,PUBLIC,GPA,FittedMean: cat=1,FittedMean: cat=2,FittedMean: cat=3,FittedProb: cat=1,FittedProb: cat=2,FittedProb: cat=3,ResponseResidual: cat=1,ResponseResidual: cat=2,ResponseResidual: cat=3,PearsonResidual: cat=1,PearsonResidual: cat=2,PearsonResidual: cat=3,StdPearsonResidual: cat=1,StdPearsonResidual: cat=2,StdPearsonResidual: cat=3,DevianceResiduals,StdDevianceResiduals,Leverage
2,3,0,0,3.259999991,0.549689562,0.362607514,0.087702923,0.549689562,0.362607514,0.087702923,-0.549689562,-0.362607514,0.912297077,-1.10484852,-0.754249325,3.225233087,-1.110395086,-0.758035811,3.241424417,2.206263831,2.217339726,0.009965305
3,2,1,0,3.210000038,0.305565573,0.510474668,0.183959759,0.305565573,0.510474668,0.183959759,-0.305565573,0.489525332,-0.183959759,-0.663340615,0.979265575,-0.474794444,-0.67492155,0.996362088,-0.483083645,1.159667422,1.179913481,0.034023441
4,1,1,1,3.940000057,0.237020344,0.361438608,0.401541048,0.237020344,0.361438608,0.401541048,0.762979656,-0.361438608,-0.401541048,1.794170315,-0.752343099,-0.819120491,1.877725937,-0.787380183,-0.857267439,1.696826038,1.775848277,0.087016512
5,2,0,0,2.809999943,0.608158421,0.327820069,0.06402151,0.608158421,0.327820069,0.06402151,-0.608158421,0.672179931,-0.06402151,-1.245813702,1.431940597,-0.261535125,-1.250270276,1.437062992,-0.262470698,1.4935129,1.498855553,0.007116271
6,2,0,0,2.529999971,0.642400186,0.305390332,0.052209482,0.642400186,0.305390332,0.052209482,-0.642400186,0.694609668,-0.052209482,-1.340306694,1.508143857,-0.234702931,-1.347862224,1.516645513,-0.23602599,1.540236698,1.548919266,0.011179709
7,1,0,1,2.589999914,0.69233103,0.222416126,0.085252844,0.69233103,0.222416126,0.085252844,0.30766897,-0.222416126,-0.085252844,0.666630148,-0.534822307,-0.305283903,0.680888556,-0.546261505,-0.311813554,0.857544251,0.875886079,0.041443246
8,2,0,0,2.559999943,0.638818538,0.307803697,0.053377765,0.638818538,0.307803697,0.053377765,-0.638818538,0.692196303,-0.053377765,-1.32992157,1.499607909,-0.237460754,-1.337011856,1.507602854,-0.238726742,1.535117616,1.543301876,0.010578045
9,2,0,0,2.730000019,0.618123799,0.321442351,0.06043385,0.618123799,0.321442351,0.06043385,-0.618123799,0.678557649,-0.06043385,-1.272261648,1.45292042,-0.253615885,-1.27731655,1.458693108,-0.254623542,1.506610145,1.512596151,0.007899215
10,1,0,0,3,0.583945605,0.342783819,0.073270576,0.583945605,0.342783819,0.073270576,0.416054395,-0.342783819,-0.073270576,0.844090204,-0.722197586,-0.281182526,0.846926429,-0.72462424,-0.282127327,1.03725353,1.040738803,0.006686475
11,2,1,0,3.5,0.271016147,0.515683248,0.213300606,0.271016147,0.515683248,0.213300606,-0.271016147,0.484316752,-0.213300606,-0.609731495,0.969110355,-0.520704866,-0.62258903,0.989546188,-0.531685079,1.150880153,1.175149003,0.040876951
