Row ID,APPLY,PARED,PUBLIC,GPA,FittedMean: cat=1,FittedMean: cat=2,FittedMean: cat=3,FittedProb: cat=1,FittedProb: cat=2,FittedProb: cat=3,ResponseResidual: cat=1,ResponseResidual: cat=2,ResponseResidual: cat=3,PearsonResidual: cat=1,PearsonResidual: cat=2,PearsonResidual: cat=3,StdPearsonResidual: cat=1,StdPearsonResidual: cat=2,StdPearsonResidual: cat=3,DevianceResiduals,StdDevianceResiduals,Leverage
2,3,0,0,3.259999991,0.548841722,0.359323565,0.091834713,0.548841722,0.359323565,0.091834713,-0.548841722,-0.359323565,0.908165287,-1.102958302,-0.748899386,3.144698491,-1.10477943,-0.750135916,3.149890798,2.185298568,2.18890678,0.0032941
3,2,1,0,3.210000038,0.305575931,0.475946351,0.218477718,0.305575931,0.475946351,0.218477718,-0.305575931,0.524053649,-0.218477718,-0.663356806,1.04932223,-0.528728709,-0.673538875,1.065428603,-0.53684433,1.218564843,1.237268973,0.030006009
4,1,1,1,3.940000057,0.229401065,0.478197223,0.292401713,0.229401065,0.478197223,0.292401713,0.770598935,-0.478197223,-0.292401713,1.832805957,-0.957305009,-0.642830641,1.856402738,-0.96963,-0.651106877,1.715974028,1.738066636,0.025260479
5,2,0,0,2.809999943,0.616111905,0.312696101,0.071191994,0.616111905,0.312696101,0.071191994,-0.616111905,0.687303899,-0.071191994,-1.266856659,1.482563047,-0.276855148,-1.273593851,1.490447374,-0.278327474,1.52481047,1.53291947,0.010551829
6,2,0,0,2.529999971,0.655992599,0.283406491,0.06060091,0.655992599,0.283406491,0.06060091,-0.655992599,0.716593509,-0.06060091,-1.380910643,1.590125999,-0.253988764,-1.390135083,1.600747991,-0.255685401,1.58800066,1.598608455,0.013227254
7,1,0,1,2.589999914,0.660881379,0.279743469,0.059375152,0.660881379,0.279743469,0.059375152,0.339118621,-0.279743469,-0.059375152,0.716331519,-0.623212815,-0.2512431,0.724774777,-0.630558502,-0.254204452,0.910143847,0.920871533,0.023163274
8,2,0,0,2.559999943,0.651812083,0.28652683,0.061661088,0.651812083,0.28652683,0.061661088,-0.651812083,0.71347317,-0.061661088,-1.368215025,1.57799701,-0.256345517,-1.377069375,1.588208956,-0.258004447,1.581090194,1.591322157,0.012818358
9,2,0,0,2.730000019,0.627694105,0.304303118,0.068002776,0.627694105,0.304303118,0.068002776,-0.627694105,0.695696882,-0.068002776,-1.298446527,1.512017533,-0.270119547,-1.305674783,1.520434707,-0.271623262,1.542550469,1.551137616,0.011041415
10,1,0,0,3,0.588092583,0.332580678,0.07932674,0.588092583,0.332580678,0.07932674,0.411907417,-0.332580678,-0.07932674,0.836906528,-0.705909651,-0.29353307,0.838303567,-0.707088018,-0.294023062,1.03040855,1.0321286,0.003330237
11,2,1,0,3.5,0.269049415,0.480459215,0.250491369,0.269049415,0.480459215,0.250491369,-0.269049415,0.519540785,-0.250491369,-0.606697238,1.03987601,-0.578106782,-0.617383473,1.058192164,-0.588289431,1.210795552,1.232122245,0.034318222
12,1,1,1,3.650000095,0.26247775,0.480654797,0.256867452,0.26247775,0.480654797,0.256867452,0.73752225,-0.480654797,-0.256867452,1.676259746,-0.962029918,-0.587924282,1.696753987,-0.973791862,-0.595112346,1.635597115,1.655594208,0.024011108
13,2,0,0,2.839999914,0.611733594,0.315843235,0.072423172,0.611733594,0.315843235,0.072423172,-0.611733594,0.684156765,-0.072423172,-1.255209615,1.47177704,-0.279424077,-1.261807213,1.479512954,-0.280892778,1.518228758,1.526208831,0.01043004
14,3,0,1,3.900000095,0.465205646,0.41089826,0.123896095,0.465205646,0.41089826,0.123896095,-0.465205646,-0.41089826,0.876103905,-0.932672306,-0.835164447,2.659187738,-0.939087394,-0.840908858,2.677478109,2.043679041,2.057735832,0.013615722
15,2,0,0,2.680000067,0.634860172,0.299062538,0.06607729,0.634860172,0.299062538,0.06607729,-0.634860172,0.700937462,-0.06607729,-1.318588968,1.530941616,-0.265993267,-1.326212749,1.539793171,-0.26753118,1.553771264,1.562754815,0.011464025
16,1,1,0,3.569999933,0.260657699,0.480672003,0.258670298,0.260657699,0.480672003,0.258670298,0.739342301,-0.480672003,-0.258670298,1.684176096,-0.962063074,-0.59070083,1.697384483,-0.969608189,-0.595333484,1.639845865,1.652706586,0.01550267
17,1,0,0,3.089999914,0.57460598,0.34192443,0.08346959,0.57460598,0.34192443,0.08346959,0.42539402,-0.34192443,-0.08346959,0.860420243,-0.720820586,-0.301780172,0.861983015,-0.722129805,-0.302328292,1.052682977,1.054594954,0.003622706
18,1,0,1,3.5,0.526698496,0.373760935,0.099540569,0.526698496,0.373760935,0.099540569,0.473301504,-0.373760935,-0.099540569,0.947955396,-0.772550496,-0.332481883,0.957866922,-0.780628043,-0.335958209,1.132366556,1.144206227,0.020587924
19,1,0,0,2.170000076,0.704153319,0.246702263,0.049144418,0.704153319,0.246702263,0.049144418,0.295846681,-0.246702263,-0.049144418,0.648186132,-0.572272972,-0.227342074,0.651981271,-0.575623639,-0.228673165,0.837566909,0.842470876,0.011607984
20,3,0,1,3.359999895,0.548125586,0.359798242,0.092076172,0.548125586,0.359798242,0.092076172,-0.548125586,-0.359798242,0.907923828,-1.101364723,-0.74967165,3.140154958,-1.105908344,-0.75276438,3.153109499,2.184096651,2.193107025,0.008200114
21,2,0,0,3.400000095,0.527419313,0.373299011,0.099281677,0.527419313,0.373299011,0.099281677,-0.527419313,0.626700989,-0.099281677,-1.056428306,1.29569198,-0.332001505,-1.064609692,1.305726316,-0.334572652,1.403834423,1.414706255,0.015310681
22,3,0,0,2.75,0.624811687,0.306400873,0.06878744,0.624811687,0.306400873,0.06878744,-0.624811687,-0.306400873,0.93121256,-1.290475968,-0.664646513,3.679339301,-1.292101443,-0.665483697,3.683973773,2.313756301,2.316670694,0.002514435
23,2,1,0,3.200000048,0.3068841,0.475687715,0.217428185,0.3068841,0.475687715,0.217428185,-0.3068841,0.524312285,-0.217428185,-0.665402247,1.049866429,-0.527103402,-0.675590162,1.065940841,-0.535173835,1.219010829,1.237674996,0.029932638
24,1,0,0,2.440000057,0.668388039,0.274090096,0.057521866,0.668388039,0.274090096,0.057521866,0.331611961,-0.274090096,-0.057521866,0.704369852,-0.614476545,-0.247047715,0.706865096,-0.61665334,-0.247922886,0.897648459,0.900828396,0.007047568
25,1,0,0,2.829999924,0.613195074,0.314794312,0.072010614,0.613195074,0.314794312,0.072010614,0.386804926,-0.314794312,-0.072010614,0.794230698,-0.677802176,-0.278565129,0.795621123,-0.678988774,-0.279052801,0.989011794,0.990743214,0.00349214
26,1,0,1,3,0.602230739,0.322623937,0.075145324,0.602230739,0.322623937,0.075145324,0.397769261,-0.322623937,-0.075145324,0.81270728,-0.690133916,-0.285045528,0.820615547,-0.69684945,-0.28781924,1.007089489,1.016889246,0.019181117
27,2,0,1,3.269999981,0.561811501,0.350641545,0.087546953,0.561811501,0.350641545,0.087546953,-0.561811501,0.649358455,-0.087546953,-1.132308652,1.36085096,-0.309752811,-1.150451839,1.382656122,-0.314716036,1.447750542,1.470948112,0.031292268
28,2,1,0,3.140000105,0.314798034,0.473994393,0.211207572,0.314798034,0.473994393,0.211207572,-0.314798034,0.526005607,-0.211207572,-0.677808024,1.05343704,-0.517455939,-0.68806705,1.069381433,-0.525287941,1.22193272,1.240427395,0.029597537
29,2,0,0,3.369999886,0.532021089,0.370336951,0.097641961,0.532021089,0.370336951,0.097641961,-0.532021089,0.629663049,-0.097641961,-1.066230944,1.303933914,-0.328949173,-1.074139558,1.313605655,-0.331389106,1.40949779,1.419952536,0.014671276
30,3,0,1,2.789999962,0.632759906,0.300602171,0.066637923,0.632759906,0.300602171,0.066637923,-0.632759906,-0.300602171,0.933362077,-1.312636365,-0.655592409,3.742521894,-1.317240656,-0.657892009,3.755649414,2.327436981,2.335600854,0.006978594
31,1,0,0,2.900000095,0.602923246,0.322132155,0.074944599,0.602923246,0.322132155,0.074944599,0.397076754,-0.322132155,-0.074944599,0.811533061,-0.689357527,-0.284633688,0.81288146,-0.690502926,-0.285106619,1.00594769,1.007619117,0.003314825
32,2,0,0,3.380000114,0.530487705,0.371326455,0.09818584,0.530487705,0.371326455,0.09818584,-0.530487705,0.628673545,-0.09818584,-1.062953281,1.301171815,-0.329963503,-1.070950647,1.310961471,-0.332446057,1.407603404,1.418193822,0.014879314
33,1,0,1,2.950000048,0.609582075,0.31738448,0.073033446,0.609582075,0.31738448,0.073033446,0.390417925,-0.31738448,-0.073033446,0.800292563,-0.681874994,-0.280691242,0.808187165,-0.688601449,-0.283460162,0.994969025,1.004784042,0.019441151
34,1,0,0,2.980000019,0.591072471,0.33049555,0.078431979,0.591072471,0.33049555,0.078431979,0.408927529,-0.33049555,-0.078431979,0.831769148,-0.702596648,-0.291731208,0.83314555,-0.703759297,-0.292213961,1.02549173,1.027188702,0.003301379
35,1,1,1,3.809999943,0.24385688,0.480024101,0.27611902,0.24385688,0.480024101,0.27611902,0.75614312,-0.480024101,-0.27611902,1.760899202,-0.960815309,-0.617610369,1.782901432,-0.972820584,-0.625327338,1.679984396,1.700975605,0.024529083
36,1,0,0,2.74000001,0.626254017,0.305351918,0.068394066,0.626254017,0.305351918,0.068394066,0.373745983,-0.305351918,-0.068394066,0.772525822,-0.663006682,-0.270952453,0.774051829,-0.664316351,-0.271487678,0.967470116,0.969381206,0.00393902
37,1,0,0,2.619999886,0.643381038,0.292785355,0.063833607,0.643381038,0.292785355,0.063833607,0.356618962,-0.292785355,-0.063833607,0.744505804,-0.643426661,-0.26112483,0.746335943,-0.645008329,-0.261766725,0.939167862,0.941476519,0.004898319
38,1,0,0,2.849999905,0.6102701,0.316891992,0.072837908,0.6102701,0.316891992,0.072837908,0.3897299,-0.316891992,-0.072837908,0.799136223,-0.681100099,-0.280285673,0.800508671,-0.682269831,-0.280767039,0.993834627,0.995541452,0.003426
39,2,0,0,2.5,0.660149092,0.280293104,0.059557804,0.660149092,0.280293104,0.059557804,-0.660149092,0.719706896,-0.059557804,-1.393724062,1.602402543,-0.251653679,-1.403343661,1.613462458,-0.253390614,1.594941644,1.605950063,0.013662553
40,2,0,0,2.75,0.624811687,0.306400873,0.06878744,0.624811687,0.306400873,0.06878744,-0.624811687,0.693599127,-0.06878744,-1.290475968,1.504559162,-0.271787927,-1.297565164,1.512824418,-0.273280986,1.538090369,1.546539828,0.010897071
41,1,0,0,2.259999991,0.692479673,0.255720649,0.051799678,0.692479673,0.255720649,0.051799678,0.307520327,-0.255720649,-0.051799678,0.666397561,-0.586158293,-0.233729474,0.669732209,-0.589091424,-0.234899054,0.857293876,0.861583766,0.00993336
42,1,0,0,2.029999971,0.721790248,0.23294059,0.045269162,0.721790248,0.23294059,0.045269162,0.278209752,-0.23294059,-0.045269162,0.6208414,-0.55107167,-0.217751298,0.625380469,-0.555100641,-0.219343312,0.807490802,0.813394494,0.014463503
