,Model 1,Model 1,Model 1,Model 1,Model 1,Model 2,Model 2,Model 2,Model 2,Model 2
Subject,Style,Comfort,Stability,Cushion,Durability,Style,Comfort,Stability,Cushion,Durability
1,6,8,3,5,19,8,6,5,6,10
2,6,7,3,4,9,8,6,3,6,4
3,5,7,1,4,16,7,5,6,4,17
4,10,9,8,4,4,9,8,6,3,4
5,7,9,7,6,9,8,5,6,8,11
6,6,6,3,9,17,8,7,4,4,13
7,5,8,6,7,6,7,3,6,3,8
8,3,7,3,6,16,6,6,5,8,14
9,8,8,9,3,8,6,9,7,5,12
10,8,6,5,3,13,7,5,9,6,11
11,5,9,5,4,17,7,5,4,6,15
12,8,8,2,3,5,5,7,4,4,6
13,5,8,7,5,8,6,4,6,4,12
14,4,9,10,2,16,8,7,8,5,12
15,2,9,4,10,14,5,6,5,7,12
16,7,5,8,6,15,10,5,7,6,6
17,4,8,8,2,16,9,6,9,5,11
18,5,10,9,3,11,8,7,10,5,5
19,7,7,3,7,12,6,2,5,3,8
20,1,5,2,7,17,5,7,5,5,8
21,5,6,7,7,20,8,4,8,8,10
22,4,3,1,2,15,3,2,4,4,15
23,7,9,6,6,9,8,6,3,6,12
24,4,5,2,4,12,5,4,6,5,9
25,8,9,5,7,18,6,3,4,8,8
