Smoking,Employee,Gender
None,Senior Managers,Female
None,Senior Managers,Male
None,Senior Managers,Female
None,Senior Managers,Male
None,Junior Managers,Female
None,Junior Managers,Male
None,Junior Managers,Female
None,Junior Managers,Male
None,Senior Employees,Female
None,Senior Employees,Male
None,Senior Employees,Female
None,Senior Employees,Male
None,Senior Employees,Female
None,Senior Employees,Male
None,Senior Employees,Female
None,Senior Employees,Male
None,Senior Employees,Female
None,Senior Employees,Male
None,Senior Employees,Female
None,Senior Employees,Male
None,Senior Employees,Female
None,Senior Employees,Male
None,Senior Employees,Female
None,Senior Employees,Male
None,Senior Employees,Female
None,Senior Employees,Male
None,Senior Employees,Female
None,Senior Employees,Male
None,Senior Employees,Female
None,Senior Employees,Male
None,Senior Employees,Female
None,Senior Employees,Male
None,Senior Employees,Female
None,Junior Employees,Male
None,Junior Employees,Female
None,Junior Employees,Male
None,Junior Employees,Female
None,Junior Employees,Male
None,Junior Employees,Female
None,Junior Employees,Male
None,Junior Employees,Female
None,Junior Employees,Male
None,Junior Employees,Female
None,Junior Employees,Male
None,Junior Employees,Female
None,Junior Employees,Male
None,Junior Employees,Female
None,Junior Employees,Male
None,Junior Employees,Female
None,Junior Employees,Male
None,Junior Employees,Female
None,Secretaries,Male
None,Secretaries,Female
None,Secretaries,Male
None,Secretaries,Female
None,Secretaries,Male
None,Secretaries,Female
None,Secretaries,Male
None,Secretaries,Female
None,Secretaries,Male
None,Secretaries,Female
Light,Senior Managers,Male
Light,Senior Managers,Female
Light,Junior Managers,Male
Light,Junior Managers,Female
Light,Junior Managers,Male
Light,Senior Employees,Female
Light,Senior Employees,Male
Light,Senior Employees,Female
Light,Senior Employees,Male
Light,Senior Employees,Female
Light,Senior Employees,Male
Light,Senior Employees,Female
Light,Senior Employees,Male
Light,Senior Employees,Female
Light,Senior Employees,Male
Light,Junior Employees,Female
Light,Junior Employees,Male
Light,Junior Employees,Female
Light,Junior Employees,Male
Light,Junior Employees,Female
Light,Junior Employees,Male
Light,Junior Employees,Female
Light,Junior Employees,Male
Light,Junior Employees,Female
Light,Junior Employees,Male
Light,Junior Employees,Female
Light,Junior Employees,Male
Light,Junior Employees,Female
Light,Junior Employees,Male
Light,Junior Employees,Female
Light,Junior Employees,Male
Light,Junior Employees,Female
Light,Junior Employees,Male
Light,Junior Employees,Female
Light,Junior Employees,Male
Light,Junior Employees,Female
Light,Junior Employees,Male
Light,Junior Employees,Female
Light,Junior Employees,Male
Light,Secretaries,Female
Light,Secretaries,Male
Light,Secretaries,Female
Light,Secretaries,Male
Light,Secretaries,Female
Light,Secretaries,Male
Medium,Senior Managers,Female
Medium,Senior Managers,Male
Medium,Senior Managers,Female
Medium,Junior Managers,Male
Medium,Junior Managers,Female
Medium,Junior Managers,Male
Medium,Junior Managers,Female
Medium,Junior Managers,Male
Medium,Junior Managers,Female
Medium,Junior Managers,Male
Medium,Senior Employees,Female
Medium,Senior Employees,Male
Medium,Senior Employees,Female
Medium,Senior Employees,Male
Medium,Senior Employees,Female
Medium,Senior Employees,Male
Medium,Senior Employees,Female
Medium,Senior Employees,Male
Medium,Senior Employees,Female
Medium,Senior Employees,Male
Medium,Senior Employees,Female
Medium,Senior Employees,Male
Medium,Junior Employees,Female
Medium,Junior Employees,Male
Medium,Junior Employees,Female
Medium,Junior Employees,Male
Medium,Junior Employees,Female
Medium,Junior Employees,Male
Medium,Junior Employees,Female
Medium,Junior Employees,Male
Medium,Junior Employees,Female
Medium,Junior Employees,Male
Medium,Junior Employees,Female
Medium,Junior Employees,Male
Medium,Junior Employees,Female
Medium,Junior Employees,Male
Medium,Junior Employees,Female
Medium,Junior Employees,Male
Medium,Junior Employees,Female
Medium,Junior Employees,Male
Medium,Junior Employees,Female
Medium,Junior Employees,Male
Medium,Junior Employees,Female
Medium,Junior Employees,Male
Medium,Junior Employees,Female
Medium,Junior Employees,Male
Medium,Junior Employees,Female
Medium,Junior Employees,Male
Medium,Junior Employees,Female
Medium,Junior Employees,Male
Medium,Junior Employees,Female
Medium,Junior Employees,Male
Medium,Junior Employees,Female
Medium,Junior Employees,Male
Medium,Junior Employees,Female
Medium,Secretaries,Male
Medium,Secretaries,Female
Medium,Secretaries,Male
Medium,Secretaries,Female
Medium,Secretaries,Male
Medium,Secretaries,Female
Medium,Secretaries,Male
Heavy,Senior Managers,Female
Heavy,Senior Managers,Male
Heavy,Junior Managers,Female
Heavy,Junior Managers,Male
Heavy,Junior Managers,Female
Heavy,Junior Managers,Male
Heavy,Senior Employees,Female
Heavy,Senior Employees,Male
Heavy,Senior Employees,Female
Heavy,Senior Employees,Male
Heavy,Junior Employees,Female
Heavy,Junior Employees,Male
Heavy,Junior Employees,Female
Heavy,Junior Employees,Male
Heavy,Junior Employees,Female
Heavy,Junior Employees,Male
Heavy,Junior Employees,Female
Heavy,Junior Employees,Male
Heavy,Junior Employees,Female
Heavy,Junior Employees,Male
Heavy,Junior Employees,Female
Heavy,Junior Employees,Male
Heavy,Junior Employees,Female
Heavy,Secretaries,Male
Heavy,Secretaries,Female
