Angle,Distance
0,2.5
20,2.462019383
40,2.349231552
60,2.165063509
80,1.915111108
100,1.606969024
120,1.25
140,0.855050358
160,0.434120444
180,1.53144E-16
200,-0.434120444
220,-0.855050358
240,-1.25
260,-1.606969024
280,-1.915111108
300,-2.165063509
320,-2.349231552
340,-2.462019383
360,-2.5
380,-2.462019383
400,-2.349231552
420,-2.165063509
440,-1.915111108
460,-1.606969024
480,-1.25
500,-0.855050358
520,-0.434120444
540,-4.59431E-16
560,0.434120444
580,0.855050358
600,1.25
620,1.606969024
640,1.915111108
660,2.165063509
680,2.349231552
700,2.462019383
720,2.5
