X,Y,Group
24,78,A
53,73,A
60,60,A
52,47,A
86,65,A
17,76,A
72,62,A
39,49,A
55,79,A
13,64,A
49,54,A
52,55,A
62,62,A
19,50,A
40,64,A
54,62,A
86,71,A
71,41,A
41,78,A
82,73,A
68,48,A
58,62,A
32,64,A
50,76,A
39,50,A
90,48,A
22,70,A
30,64,A
76,63,A
49,78,A
86,44,A
49,58,A
19,63,A
36,57,A
82,57,A
48,43,A
80,77,A
89,74,A
17,79,A
90,71,A
70,43,A
56,48,A
87,79,A
66,76,A
11,72,A
50,79,A
67,49,A
72,61,A
11,59,A
74,55,A
85,63,A
34,76,A
64,77,A
70,48,A
11,51,A
78,71,A
88,65,A
35,80,A
64,67,A
83,46,A
50,54,A
64,70,A
48,66,A
46,68,A
82,67,A
65,53,A
32,41,A
42,44,A
43,54,A
46,40,A
75,48,A
18,73,A
37,40,A
70,78,A
17,62,A
82,53,A
55,58,A
53,67,A
90,40,A
54,75,A
14,52,A
53,66,A
67,59,A
74,68,A
39,56,A
60,68,A
31,56,A
74,73,A
18,56,A
41,60,A
90,50,A
67,52,A
49,49,A
61,47,A
60,18,B
59,72,B
50,80,B
56,11,B
51,52,B
51,76,B
43,73,B
53,22,B
