Point,Sample_Label,Sequence,Stage,Phase,Exclude,Exclusion_Reason,Process_Note,Individual_Value,Individual_Value_Missing,Subgroup_ID,Subgroup_Label,Subgroup_Sequence,Stacked_Value,Measure_1,Measure_2,Measure_3,Measure_4,Measure_5,Measure_5_With_Missing,Nonconforming_Count,Sample_Size,Sample_Size_Constant,Exposure
1,S01,1,Baseline,Phase I,0,,Stable Phase I baseline,49.82,49.82,G01,Group 01,1,49.66,49.585,49.78,49.915,49.995,50.13,50.13,2,100,100,100
2,S02,2,Baseline,Phase I,0,,Stable Phase I baseline,50.08,50.08,G01,Group 01,1,49.91,49.78,49.975,50.065,50.19,50.325,50.325,1,92,100,80
3,S03,3,Baseline,Phase I,0,,Stable Phase I baseline,49.95,49.95,G01,Group 01,1,50.07,49.875,50.025,50.16,50.285,50.375,50.375,3,108,100,120
4,S04,4,Baseline,Phase I,0,,Stable Phase I baseline,50.22,50.22,G02,Group 02,2,49.84,49.665,49.86,49.995,50.075,50.21,50.21,2,84,100,90
5,S05,5,Baseline,Phase I,0,,Stable Phase I baseline,49.89,49.89,G02,Group 02,2,50.09,49.81,50.005,50.095,50.22,50.355,50.355,2,116,100,110
6,S06,6,Baseline,Phase I,0,,Stable Phase I baseline,50.04,50.04,G02,Group 02,2,50.25,49.635,49.785,49.92,50.045,50.135,50.135,1,96,100,100
7,S07,7,Baseline,Phase I,0,,Stable Phase I baseline,50.16,50.16,G03,Group 03,3,49.92,49.735,49.93,50.065,50.145,50.28,50.28,4,104,100,85
8,S08,8,Baseline,Phase I,0,,Stable Phase I baseline,49.8,49.8,G03,Group 03,3,50.17,49.84,50.035,50.125,50.25,50.385,50.385,2,88,100,115
9,S09,9,Baseline,Phase I,0,,Stable Phase I baseline,50.02,50.02,G03,Group 03,3,50.33,49.665,49.815,49.95,50.075,50.165,50.165,3,112,100,95
10,S10,10,Baseline,Phase I,0,,Stable Phase I baseline,50.11,50.11,G04,Group 04,4,49.74,49.705,49.9,50.035,50.115,50.25,50.25,1,100,100,105
