Temperature_C,Pressure_kPa,Flow_L_min,ObservationOrder,ObservationLabel,SubgroupID,SubgroupSequence,SubgroupLabel,Stage,Phase,Excluded,ExclusionReason
51.425,99.753,18.755,1,Obs-001,G01,1,Subgroup 01,Baseline,Phase I,No,
50.43,102.014,20.067,2,Obs-002,G01,1,Subgroup 01,Baseline,Phase I,No,
50.098,99.79,20.564,3,Obs-003,G01,1,Subgroup 01,Baseline,Phase I,No,
49.982,101.008,18.777,4,Obs-004,G01,1,Subgroup 01,Baseline,Phase I,No,
51.94,101.526,19.974,5,Obs-005,G01,1,Subgroup 01,Baseline,Phase I,No,
48.846,101.343,21.211,6,Obs-006,G02,2,Subgroup 02,Baseline,Phase I,No,
50.397,100.798,20.248,7,Obs-007,G02,2,Subgroup 02,Baseline,Phase I,No,
49.562,100.201,20.82,8,Obs-008,G02,2,Subgroup 02,Baseline,Phase I,No,
50.318,101.527,19.824,9,Obs-009,G02,2,Subgroup 02,Baseline,Phase I,No,
48.996,97.177,19.157,10,Obs-010,G02,2,Subgroup 02,Baseline,Phase I,No,
50.427,101.077,21.675,11,Obs-011,G03,3,Subgroup 03,Baseline,Phase I,No,
49.684,102.551,20.057,12,Obs-012,G03,3,Subgroup 03,Baseline,Phase I,No,
50.494,100.746,19.13,13,Obs-013,G03,3,Subgroup 03,Baseline,Phase I,No,
50.533,99.899,20.652,14,Obs-014,G03,3,Subgroup 03,Baseline,Phase I,No,
49.641,99.877,21.732,15,Obs-015,G03,3,Subgroup 03,Baseline,Phase I,No,
51.416,100,18.03,16,Obs-016,G04,4,Subgroup 04,Baseline,Phase I,No,
50.832,100.247,17.412,17,Obs-017,G04,4,Subgroup 04,Baseline,Phase I,No,
48.288,100.568,19.285,18,Obs-018,G04,4,Subgroup 04,Baseline,Phase I,No,
49.919,99.492,21.612,19,Obs-019,G04,4,Subgroup 04,Baseline,Phase I,No,
49.797,98.345,20.724,20,Obs-020,G04,4,Subgroup 04,Baseline,Phase I,No,
51.239,102.08,20.196,21,Obs-021,G05,5,Subgroup 05,Baseline,Phase I,No,
48.965,100.309,20.547,22,Obs-022,G05,5,Subgroup 05,Baseline,Phase I,No,
50.792,99.509,20.045,23,Obs-023,G05,5,Subgroup 05,Baseline,Phase I,No,
50.007,99.771,20.398,24,Obs-024,G05,5,Subgroup 05,Baseline,Phase I,No,
47.485,98.995,20.786,25,Obs-025,G05,5,Subgroup 05,Baseline,Phase I,No,
50.001,98.664,19.306,26,Obs-026,G06,6,Subgroup 06,Baseline,Phase I,No,
50.01,100.656,19.175,27,Obs-027,G06,6,Subgroup 06,Baseline,Phase I,No,
49.682,99.008,19.584,28,Obs-028,G06,6,Subgroup 06,Baseline,Phase I,No,
50.506,98.907,18.103,29,Obs-029,G06,6,Subgroup 06,Baseline,Phase I,No,
50.52,97.959,18.115,30,Obs-030,G06,6,Subgroup 06,Baseline,Phase I,No,
49.036,99.811,19.786,31,Obs-031,G07,7,Subgroup 07,Baseline,Phase I,No,
50.648,102.563,18.932,32,Obs-032,G07,7,Subgroup 07,Baseline,Phase I,No,
50.36,100.887,18.36,33,Obs-033,G07,7,Subgroup 07,Baseline,Phase I,No,
50.733,100.13,19.188,34,Obs-034,G07,7,Subgroup 07,Baseline,Phase I,No,
50.125,99.808,17.064,35,Obs-035,G07,7,Subgroup 07,Baseline,Phase I,No,
50.661,98.39,18.996,36,Obs-036,G08,8,Subgroup 08,Baseline,Phase I,Yes,Calibration check; exclude from estimation and signal evaluation
48.942,99.001,21.755,37,Obs-037,G08,8,Subgroup 08,Baseline,Phase I,Yes,Calibration check; exclude from estimation and signal evaluation
49.791,98.929,20.112,38,Obs-038,G08,8,Subgroup 08,Baseline,Phase I,Yes,Calibration check; exclude from estimation and signal evaluation
50.986,98.728,18.946,39,Obs-039,G08,8,Subgroup 08,Baseline,Phase I,Yes,Calibration check; exclude from estimation and signal evaluation
50.13,101.212,21.169,40,Obs-040,G08,8,Subgroup 08,Baseline,Phase I,Yes,Calibration check; exclude from estimation and signal evaluation
48.622,98.777,21.129,41,Obs-041,G09,9,Subgroup 09,Baseline,Phase I,No,
50.824,99.023,19.983,42,Obs-042,G09,9,Subgroup 09,Baseline,Phase I,No,
48.278,100.841,20.695,43,Obs-043,G09,9,Subgroup 09,Baseline,Phase I,No,
49.863,100.391,18.765,44,Obs-044,G09,9,Subgroup 09,Baseline,Phase I,No,
51.573,100.253,17.811,45,Obs-045,G09,9,Subgroup 09,Baseline,Phase I,No,
50.795,101.461,19.659,46,Obs-046,G10,10,Subgroup 10,Baseline,Phase I,No,
49.287,100.342,22.09,47,Obs-047,G10,10,Subgroup 10,Baseline,Phase I,No,
51.005,103.633,20.323,48,Obs-048,G10,10,Subgroup 10,Baseline,Phase I,No,
50.074,99.752,21.062,49,Obs-049,G10,10,Subgroup 10,Baseline,Phase I,No,
48.821,100.317,21.115,50,Obs-050,G10,10,Subgroup 10,Baseline,Phase I,No,
50.899,99.62,19.119,51,Obs-051,G11,11,Subgroup 11,Baseline,Phase I,No,
49.896,99.986,21.505,52,Obs-052,G11,11,Subgroup 11,Baseline,Phase I,No,
51.351,100.447,18.624,53,Obs-053,G11,11,Subgroup 11,Baseline,Phase I,No,
50.248,100.007,19.021,54,Obs-054,G11,11,Subgroup 11,Baseline,Phase I,No,
51.231,100.906,18.917,55,Obs-055,G11,11,Subgroup 11,Baseline,Phase I,No,
50.532,101.95,19.677,56,Obs-056,G12,12,Subgroup 12,Baseline,Phase I,No,
50.036,99.623,19.847,57,Obs-057,G12,12,Subgroup 12,Baseline,Phase I,No,
50.051,101.415,20.657,58,Obs-058,G12,12,Subgroup 12,Baseline,Phase I,No,
